session_id,timestamp,symbol,buy_exchange,sell_exchange,buy_price,sell_price,amount,net_profit_usd,running_profit_usd,latency_ms,fees_paid,fill_ratio,status
session_1758652606,1758653069,ETH/USDT,okx,binance,4112.0,4152.44,0.012159533073929961,0.3662397859922131,0.3662397859922131,1000,0.02,1.0,SUCCESS
session_1758652606,1758653109,ETH/USDT,okx,binance,4112.8,4150.92,0.012157167866173895,0.337967807819489,0.7042075938117021,1000,0.02,1.0,SUCCESS
session_1758652606,1758653151,ETH/USDT,okx,binance,4108.51,4151.16,0.012169862066783334,0.39352557253115644,1.0977331663428584,1000,0.02,1.0,SUCCESS
session_1758652606,1758653192,ETH/USDT,okx,binance,4109.62,4150.82,0.012166575011801578,0.3757616275957365,1.473494793938595,1000,0.02,1.0,SUCCESS
session_1758652606,1758653233,ETH/USDT,okx,binance,4111.13,4151.28,0.01216210628221438,0.36282025866367196,1.836315052602267,1000,0.02,1.0,SUCCESS
session_1758652606,1758653274,ETH/USDT,okx,binance,4106.35,4150.41,0.012176263591754234,0.41094968767883266,2.2472647402810995,1000,0.02,1.0,SUCCESS
session_1758652606,1758653315,ETH/USDT,okx,binance,4104.04,4152.0,0.01218311712361478,0.4587179949513167,2.705982735232416,1000,0.02,1.0,SUCCESS
session_1758652606,1758653357,ETH/USDT,okx,binance,4108.55,4150.65,0.012169743583502694,0.38683385866059133,0.38683385866059133,1000,0.02,1.0,SUCCESS
session_1758652606,1758653397,ETH/USDT,okx,binance,4103.0,4149.85,0.012186205215695833,0.4453527906409988,0.8321866493015901,1000,0.02,1.0,SUCCESS
session_1758652606,1758653447,ETH/USDT,okx,binance,4110.6,4149.48,0.012163674402763586,0.34745073711865904,0.0,30016,0,0,CRITICAL_ERROR
session_1758653618,1758653717,ETH/USDT,okx,binance,4119.21,4149.33,0.01213824981003639,0.24023848019401647,0.0,31858,0,0,FAILED_UNKNOWN
session_1758653618,1758653785,ETH/USDT,okx,binance,4097.92,4151.88,0.01220131188505388,0.5327244065281903,0.0,30053,0,0,FAILED_UNKNOWN
session_1758653618,1758653855,ETH/USDT,okx,binance,4101.37,4149.624342963978,0.012191048357012414,0.46268275748120974,0.0,31974,0,0,FAILED_UNKNOWN
session_1758653618,1758653926,ETH/USDT,okx,binance,4095.92,4154.65,0.012207269673235805,0.5912160149612244,0.0,32223,0,0,FAILED_UNKNOWN
session_1758653981,1758654033,ETH/USDT,okx,binance,4145.1,4160.25,0.01206243516441099,0.05756314684808131,0.05756314684808131,1000,0.02,1.0,SUCCESS
session_1758653981,1758654071,ETH/USDT,okx,binance,4140.0,4160.1,0.012077294685990338,0.11751086956522178,0.17507401641330309,1000,0.02,1.0,SUCCESS
session_1758653981,1758654110,ETH/USDT,okx,binance,4136.43,4164.31,0.012087718153093367,0.21166857652613613,0.38674259293943924,1000,0.02,1.0,SUCCESS
session_1758653981,1758654147,ETH/USDT,okx,binance,4138.12,4168.45,0.012082781552975748,0.24110429373725178,0.6278468866766911,1000,0.02,1.0,SUCCESS
session_1758653981,1758654184,ETH/USDT,okx,binance,4140.81,4169.54,0.0120749321992557,0.2215658892825264,0.8494127759592175,1000,0.02,1.0,SUCCESS
session_1758653981,1758654222,ETH/USDT,okx,binance,4136.36,4169.61,0.012087922714657333,0.276521506832094,1.1259342827913115,1000,0.02,1.0,SUCCESS
session_1758653981,1758654259,ETH/USDT,okx,binance,4137.14,4167.01,0.012085643705555045,0.23563717930744293,1.3615714620987545,1000,0.02,1.0,SUCCESS
session_1758653981,1758654297,ETH/USDT,okx,binance,4140.7,4168.77,0.01207525297654986,0.21361339870071025,1.5751848607994647,1000,0.02,1.0,SUCCESS
session_1758653981,1758654334,ETH/USDT,okx,binance,4134.99,4169.074252455737,0.012091927670925444,0.2867321710969277,1.8619170318963925,1000,0.02,1.0,SUCCESS
session_1758653981,1758654371,ETH/USDT,okx,binance,4131.68,4166.81,0.01210161483948418,0.2997045995817695,2.161621631478162,1000,0.02,1.0,SUCCESS
session_1758653981,1758654408,ETH/USDT,okx,binance,4128.6,4171.88,0.01211064283292157,0.39862447318703365,2.560246104665196,1000,0.02,1.0,SUCCESS
session_1758653981,1758654445,ETH/USDT,okx,binance,4126.81,4174.11,0.012115895812988723,0.4475087900824034,3.0077548947475994,1000,0.02,1.0,SUCCESS
session_1758653981,1758654482,ETH/USDT,okx,binance,4126.06,4175.73,0.012118098137205954,0.4763040285405346,3.484058923288134,1000,0.02,1.0,SUCCESS
session_1758653981,1758654520,ETH/USDT,okx,binance,4127.84,4172.93535355394,0.012112872591960928,0.42068803781622155,3.9047469611043555,1000,0.02,1.0,SUCCESS
session_1758653981,1758654556,ETH/USDT,okx,binance,4127.94,4172.7,0.012112579155704784,0.41661688396633945,4.321363845070695,1000,0.02,1.0,SUCCESS
session_1758653981,1758654593,ETH/USDT,okx,binance,4127.43,4172.11,0.01211407582926906,0.41571565114368236,4.737079496214378,1000,0.02,1.0,SUCCESS
session_1758653981,1758654631,ETH/USDT,okx,binance,4123.34,4175.71,0.012126091954580509,0.5094083922257185,5.246487888440096,1000,0.02,1.0,SUCCESS
session_1758653981,1758654668,ETH/USDT,okx,binance,4121.43,4172.643769724439,0.012131711566131171,0.49568937182864226,5.742177260268738,1000,0.02,1.0,SUCCESS
session_1758653981,1758654706,ETH/USDT,okx,binance,4119.58,4173.91,0.012137159613358643,0.5337524699119804,6.275929730180718,1000,0.02,1.0,SUCCESS
session_1758653981,1758654744,ETH/USDT,okx,binance,4118.05,4173.25,0.01214166899381989,0.5445499083303968,6.820479638511115,1000,0.02,1.0,SUCCESS
session_1758653981,1758654782,ETH/USDT,okx,binance,4115.29,4171.76,0.012149812042407704,0.5604137861487314,7.380893424659846,1000,0.02,1.0,SUCCESS
session_1758653981,1758654819,ETH/USDT,okx,binance,4112.02,4170.29,0.012159473932519782,0.5828240135018741,7.96371743816172,1000,0.02,1.0,SUCCESS
session_1758653981,1758654855,ETH/USDT,okx,binance,4109.06,4171.16,0.01216823312387748,0.6298916297157922,8.593609067877512,1000,0.02,1.0,SUCCESS
session_1758653981,1758654949,ETH/USDT,okx,binance,4153.6,4168.57,0.012037750385208011,0.0550249181432895,8.648633986020801,1000,0.02,1.0,SUCCESS
session_1758653981,1758654986,ETH/USDT,okx,binance,4150.66,4167.97,0.012046276977637292,0.08331253342842343,8.731946519449224,1000,0.02,1.0,SUCCESS
session_1758653981,1758655023,ETH/USDT,okx,binance,4148.03,4170.29,0.012053914749893323,0.14305182219029539,8.87499834163952,1000,0.02,1.0,SUCCESS
session_1758653981,1758655060,ETH/USDT,okx,binance,4145.39,4175.38,0.012061591309864693,0.23636539625945668,9.111363737898976,1000,0.02,1.0,SUCCESS
session_1758653981,1758655098,ETH/USDT,okx,binance,4141.66,4174.63,0.01207245404016747,0.27263078089462023,9.383994518793596,1000,0.02,1.0,SUCCESS
session_1758653981,1758655137,ETH/USDT,okx,binance,4138.82,4182.0,0.012080737988122219,0.39612462006079385,9.78011913885439,1000,0.02,1.0,SUCCESS
session_1758653981,1758655173,ETH/USDT,okx,binance,4137.11,4179.48,0.012085731343860812,0.38656036460234194,10.166679503456733,1000,0.02,1.0,SUCCESS
session_1758653981,1758655210,ETH/USDT,okx,binance,4135.29,4178.59,0.012091050446280673,0.3980189418396314,10.564698445296363,1000,0.02,1.0,SUCCESS
session_1758653981,1758655247,ETH/USDT,okx,binance,4133.33,4173.5,0.012096783949019314,0.3604418834208747,10.925140328717237,1000,0.02,1.0,SUCCESS
session_1758653981,1758655284,ETH/USDT,okx,binance,4131.0,4171.89,0.012103606874848705,0.36942156862745495,11.294561897344693,1000,0.02,1.0,SUCCESS
session_1758653981,1758655322,ETH/USDT,okx,binance,4129.45,4169.47,0.012108149995762148,0.3590835946675761,11.653645492012268,1000,0.02,1.0,SUCCESS
session_1758653981,1758655360,ETH/USDT,okx,binance,4127.43,4170.93,0.01211407582926906,0.4014353362746309,12.055080828286899,1000,0.02,1.0,SUCCESS
session_1758653981,1758655398,ETH/USDT,okx,binance,4125.71,4172.98,0.012119126162527177,0.44729822260895125,12.50237905089585,1000,0.02,1.0,SUCCESS
session_1758653981,1758655435,ETH/USDT,okx,binance,4119.03,4172.41,0.01213878024680568,0.522320121484914,13.024699172380764,1000,0.02,1.0,SUCCESS
session_1758653981,1758655473,ETH/USDT,okx,binance,4116.55,4171.9,0.012146093209119286,0.5466139728656211,13.571313145246386,1000,0.02,1.0,SUCCESS
session_1758653981,1758655509,ETH/USDT,okx,binance,4114.25,4170.04,0.012152883271556177,0.5523313483623985,14.123644493608785,1000,0.02,1.0,SUCCESS
session_1758653981,1758655546,ETH/USDT,okx,binance,4112.74,4168.824252200737,0.012157345224837943,0.556153780065555,14.67979827367434,1000,0.02,1.0,SUCCESS
session_1758653981,1758655584,ETH/USDT,okx,binance,4133.71,4169.2,0.012095671926671199,0.3038461212808806,14.98364439495522,1000,0.02,1.0,SUCCESS
session_1758653981,1758655621,ETH/USDT,okx,binance,4119.21,4169.63,0.01213824981003639,0.4863985448666137,15.470042939821834,1000,0.02,1.0,SUCCESS
session_1758653981,1758655660,ETH/USDT,okx,binance,4116.07,4165.56,0.0121475096390489,0.4755790717845019,15.945622011606336,1000,0.02,1.0,SUCCESS
session_1758653981,1758655696,ETH/USDT,okx,binance,4111.96,4166.11,0.01215965135847625,0.532786675940423,16.478408687546757,1000,0.02,1.0,SUCCESS
session_1758653981,1758655734,ETH/USDT,okx,binance,4109.62,4168.79,0.012166575011801578,0.594176347204852,17.072585034751608,1000,0.02,1.0,SUCCESS
session_1758653981,1758655772,ETH/USDT,okx,binance,4106.4,4170.0,0.012176115332164427,0.6486265341905364,17.721211568942145,1000,0.02,1.0,SUCCESS
session_1758653981,1758655810,ETH/USDT,okx,binance,4103.59,4170.18,0.012184453125190382,0.6855513708728229,18.406762939814968,1000,0.02,1.0,SUCCESS
session_1758653981,1758655847,ETH/USDT,okx,binance,4102.21,4168.54,0.012188552024396606,0.6826581891224477,19.089421128937417,1000,0.02,1.0,SUCCESS
session_1758653981,1758655884,ETH/USDT,okx,binance,4100.0,4167.62,0.012195121951219513,0.6988095121951207,19.788230641132536,1000,0.02,1.0,SUCCESS
session_1758653981,1758655921,ETH/USDT,okx,binance,4098.26,4167.6,0.012200299639359142,0.7201228082161715,20.508353449348707,1000,0.02,1.0,SUCCESS
session_1758653981,1758655958,ETH/USDT,okx,binance,4096.36,4166.62,0.012205958460682167,0.7317330508060842,21.240086500154792,1000,0.02,1.0,SUCCESS
session_1758653981,1758655996,ETH/USDT,okx,binance,4094.4500000000003,4166.15,0.012211652358680653,0.7496998986432776,21.98978639879807,1000,0.02,1.0,SUCCESS
session_1758653981,1758656039,ETH/USDT,okx,binance,4151.31,4166.27,0.012044390806757383,0.055003902382621817,22.044790301180694,1000,0.02,1.0,SUCCESS
session_1758653981,1758656076,ETH/USDT,okx,binance,4144.89,4164.396413170476,0.012063046305209546,0.11007145855867437,22.15486175973937,1000,0.02,1.0,SUCCESS
session_1758653981,1758656114,ETH/USDT,okx,binance,4137.77,4162.94,0.012083803594689892,0.17884518714185615,22.333706946881225,1000,0.02,1.0,SUCCESS
session_1758653981,1758656151,ETH/USDT,okx,binance,4134.35,4161.03,0.012093799508991738,0.1973399083289922,22.531046855210217,1000,0.02,1.0,SUCCESS
session_1758653981,1758656188,ETH/USDT,okx,binance,4131.75,4162.02,0.012101409814243359,0.24094336540207464,22.77199022061229,1000,0.02,1.0,SUCCESS
session_1758653981,1758656225,ETH/USDT,okx,binance,4128.99,4160.44,0.012109498933153145,0.25546289770621655,23.02745311831851,1000,0.02,1.0,SUCCESS
session_1758653981,1758656263,ETH/USDT,okx,binance,4126.98,4160.54,0.012115396730781347,0.28118612157074185,23.30863923988925,1000,0.02,1.0,SUCCESS
session_1758653981,1758656300,ETH/USDT,okx,binance,4125.33,4158.42,0.012120242501811977,0.27565776556057514,23.584297005449823,1000,0.02,1.0,SUCCESS
session_1758653981,1758656337,ETH/USDT,okx,binance,4122.19,4157.18,0.01212947486651513,0.2989859152537934,23.883282920703618,1000,0.02,1.0,SUCCESS
session_1758653981,1758656375,ETH/USDT,okx,binance,4119.6,4161.13,0.012137100689387318,0.378549737838622,24.26183265854224,1000,0.02,1.0,SUCCESS
session_1758653981,1758656411,ETH/USDT,okx,binance,4117.82,4163.4,0.012142347164276245,0.4278947355639626,24.689727394106203,1000,0.02,1.0,SUCCESS
session_1758653981,1758656452,ETH/USDT,okx,binance,4115.24,4164.39,0.024299919324267845,0.9431466937529901,0.9431466937529901,1000,0.02,1.0,SUCCESS
